NO,SMA,Indonesia,Inggris,Matematika,Fisika,Kimia,Biologi
1,SMA NEGERI 1 SURABAYA,84.68,79.07,59.08,62.81,66.88,68.37
2,SMA NEGERI 2 SURABAYA,87.08,86.95,65.43,66.46,74.42,79.84
3,SMA NEGERI 3 SURABAYA,78.78,64.9,46.83,44.5,51.64,60.07
4,SMA NEGERI 4 SURABAYA,83.54,74.21,49.81,52.68,57.42,67.61
5,SMA NEGERI 5 SURABAYA,88.91,90.86,82.62,82.19,83.11,87.67
6,SMA NEGERI 6 SURABAYA,86.4,80.66,60.93,59.83,65.28,77.41
7,SMA NEGERI 7 SURABAYA,79.81,66.45,47.86,41.34,49.82,52.56
8,SMA NEGERI 8 SURABAYA,78.56,61.9,40.1,40.62,50.47,52.09
9,SMA NEGERI 9 SURABAYA,84.17,76.87,51.49,49,56.9,65.06
10,SMA NEGERI 10 SURABAYA,81.25,72.88,46.01,44.23,50.87,64.7
11,SMA NEGERI 11 SURABAYA,85.77,73.38,54.12,50.11,62.18,77.76
12,SMA NEGERI 12 SURABAYA,79.73,61.81,40.72,42.07,48.38,57.52
13,SMA NEGERI 13 SURABAYA,83.39,71.71,51.88,52.01,64.64,67.77
14,SMA NEGERI 14 SURABAYA,79.19,67.91,45.65,40.93,50.16,60
15,SMA NEGERI 15 SURABAYA,87.02,87.08,64.59,61.62,72.85,78.18
16,SMA NEGERI 16 SURABAYA,86.66,83.75,57.78,58.23,69.95,79.47
17,SMA NEGERI 17 SURABAYA,82.15,72.65,47.75,49.65,55.25,67.05
18,SMA NEGERI 18 SURABAYA,81.52,68.01,43.12,46.56,51.06,61.65
19,SMA NEGERI 19 SURABAYA,79.73,64.24,43.92,43.46,54.17,60.85
20,SMA NEGERI 20 SURABAYA,81.53,74.48,44.94,48.14,51.25,61.73
21,SMA NEGERI 21 SURABAYA,83.69,75.13,51.43,46.31,57.33,67.04
22,SMA NEGERI 22 SURABAYA,78.05,61.54,43.72,48.8,50.1,58.13
23,SMA NEGERI 1 MALANG,88,84.97,65.58,64.17,72.34,80.57
24,SMA NEGERI 2 MALANG,84.85,70.35,51.8,59.79,65.29,65.13
25,SMA NEGERI 3 MALANG,87.34,87.19,67.8,69.64,78.23,78.72
26,SMA NEGERI 4 MALANG,86.46,83.03,58.03,59.85,65.71,75.31
27,SMA NEGERI 5 MALANG,86.21,78.86,51.01,51.84,56.25,68.69
28,SMA NEGERI 6 MALANG,79.95,64.75,39.9,40.73,46.62,54.69
29,SMA NEGERI 7 MALANG,82.82,72.34,50.4,48.57,61.82,64.16
30,SMA NEGERI 8 MALANG,84.7,79.81,52.47,52.62,55.88,69.05
31,SMA NEGERI 9 MALANG,82.75,75.13,47.24,44.21,51.09,61.41
32,SMA NEGERI 10 MALANG,84.78,76.73,51.47,49.12,59.35,64.02
33,SMA NEGERI TARUNA NALA JAWA TIMUR,80.51,72.74,52.05,54.41,58.25,65.96
34,SMA NEGERI 1 MADIUN,79.13,62.23,43.26,53.28,53.98,54.57
